step,timestamp,elapsed_s,prob,raw_prob,severity,confidence,prediction,action,reason,applied,attack_state,first_attacker_ip,first_attacker_step,first_detect_latency_s,second_attacker_ip,second_attacker_step,second_detect_latency_s,second_locked_action,victim,attacker,is_new_attacker,port,bps,gt_label,gt_name,correct,total_cpu_pct,controllers_cpu_avg_pct,controllers_overhead_avg_pct,onos1_cpu,onos2_cpu,onos3_cpu,onos1_mem,onos2_mem,onos3_mem,total_sw_packets,total_sw_bytes,s1_packets,s2_packets,s3_packets,s4_packets,active_mitigations_count,unique_attackers_seen
0,2026-03-05T09:33:16.323419+00:00,3.2,0.0026090058963745832,0.003370840335264802,0.0031308070756495,0.9947819882072508,0,ALLOW,allow,True,False,,,,,,,,,,False,,0,0,INIT,True,16.6,3.5833333333333335,0.0,3.56,2.03,5.16,1.294GiB,1.266GiB,1.242GiB,16463,42589224,10717,2721,1250,1775,0,0
1,2026-03-05T09:33:20.387177+00:00,6.9,0.002228456549346447,0.002899167127907276,0.0026741478592157363,0.9955430869013071,0,ALLOW,allow,True,False,,,,,,,,,,False,,0,0,INIT,True,15.9,2.52,-0.5316666666666667,2.23,2.6,2.73,1.293GiB,1.266GiB,1.241GiB,16726,42946526,10805,2806,1255,1860,0,0
2,2026-03-05T09:33:24.452492+00:00,11.0,0.003169216215610504,0.004059734288603067,0.003803059458732605,0.993661567568779,0,ALLOW,allow,True,False,,,,,,,,,,False,,0,0,INIT,True,21.5,3.686666666666667,0.4233333333333332,4.26,3.66,3.14,1.294GiB,1.267GiB,1.242GiB,17129,43520176,10938,2940,1257,1994,0,0
3,2026-03-05T09:33:28.523786+00:00,15.0,0.003139015519991517,0.0040227435529232025,0.0037668186239898202,0.993721968960017,0,ALLOW,allow,True,False,,,,,,,,,,False,,0,0,INIT,True,31.7,7.766666666666667,3.3775,4.23,4.64,14.43,1.295GiB,1.268GiB,1.242GiB,16848,30646796,10424,3057,1259,2108,0,0
4,2026-03-05T09:33:32.564228+00:00,19.1,0.001971073681488633,0.002578148851171136,0.00236528841778636,0.9960578526370227,0,ALLOW,allow,True,False,,,,,,,,,,False,,0,0,INIT,True,28.0,7.2700000000000005,2.3046666666666664,8.41,6.87,6.53,1.295GiB,1.267GiB,1.242GiB,16595,17763260,10557,2533,1273,2232,0,0
5,2026-03-05T09:33:36.642093+00:00,23.1,0.0016707041068002582,0.002201134106144309,0.00200484492816031,0.9966585917863995,0,ALLOW,allow,True,False,,,,,,,,,,False,,0,0,INIT,True,13.5,2.516666666666667,-2.040555555555556,2.12,2.33,3.1,1.294GiB,1.267GiB,1.243GiB,16327,4885458,10684,2652,1277,1714,0,0
6,2026-03-05T09:33:40.698123+00:00,27.2,0.004272003658115864,0.005400677211582661,0.005126404389739036,0.9914559926837683,0,ALLOW,allow,True,False,,,,,,,,,,False,,0,0,INIT,True,15.5,3.2399999999999998,-1.1290476190476195,2.82,1.98,4.92,1.295GiB,1.266GiB,1.243GiB,16704,5398869,10811,2765,1290,1838,0,0
7,2026-03-05T09:33:44.754164+00:00,31.3,0.0053364913910627365,0.0066800909116864204,0.006403789669275284,0.9893270172178745,0,ALLOW,allow,True,False,,,,,,,,,,False,,0,0,INIT,True,20.0,3.866666666666667,-0.4395833333333338,3.73,3.74,4.13,1.295GiB,1.267GiB,1.243GiB,17029,5704232,10920,2864,1301,1944,0,0
8,2026-03-05T09:33:48.828933+00:00,35.3,0.015114855021238327,0.018050799146294594,0.01813782602548599,0.9697702899575233,0,ALLOW,allow,True,False,,,,,,,,,,False,,0,0,INIT,True,31.7,8.263333333333334,3.5174074074074064,6.22,11.54,7.03,1.292GiB,1.259GiB,1.241GiB,17127,5873822,10954,2869,1325,1979,0,0
9,2026-03-05T09:33:52.899854+00:00,39.4,0.005000922363251448,0.0062781404703855515,0.006001106835901737,0.9899981552734971,0,ALLOW,allow,True,False,,,,,,,,,,False,,0,0,INIT,True,21.5,5.066666666666666,0.2886666666666664,5.87,3.89,5.44,1.292GiB,1.258GiB,1.241GiB,17666,14336348,11135,3007,1367,2157,0,0
