step,elapsed_s,gt_label,attack_episode_id,raw_prob,attack_prob,binary_pred,is_tp,is_fp,is_tn,is_fn,cum_tp,cum_fp,cum_tn,cum_fn,rolling_precision,rolling_recall,rolling_f1
0,2.0,0,0,0.002667,0.002042,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0
1,5.6,0,0,0.003769,0.002932,0,0,0,1,0,0,0,2,0,0.0,0.0,0.0
2,9.7,0,0,0.003044,0.002345,0,0,0,1,0,0,0,3,0,0.0,0.0,0.0
3,13.7,0,0,0.002621,0.002005,0,0,0,1,0,0,0,4,0,0.0,0.0,0.0
4,17.8,0,0,0.002765,0.002121,0,0,0,1,0,0,0,5,0,0.0,0.0,0.0
5,21.8,0,0,0.002744,0.002104,0,0,0,1,0,0,0,6,0,0.0,0.0,0.0
6,25.9,0,0,0.004136,0.003231,0,0,0,1,0,0,0,7,0,0.0,0.0,0.0
7,30.0,0,0,0.002972,0.002287,0,0,0,1,0,0,0,8,0,0.0,0.0,0.0
8,34.0,0,0,0.00245,0.001868,0,0,0,1,0,0,0,9,0,0.0,0.0,0.0
9,38.1,0,0,0.002477,0.00189,0,0,0,1,0,0,0,10,0,0.0,0.0,0.0
10,42.2,0,0,0.001585,0.001185,0,0,0,1,0,0,0,11,0,0.0,0.0,0.0
11,46.2,0,0,0.003457,0.002679,0,0,0,1,0,0,0,12,0,0.0,0.0,0.0
12,50.3,0,0,0.003158,0.002437,0,0,0,1,0,0,0,13,0,0.0,0.0,0.0
13,54.3,0,0,0.003234,0.002498,0,0,0,1,0,0,0,14,0,0.0,0.0,0.0
14,58.4,0,0,0.002066,0.001563,0,0,0,1,0,0,0,15,0,0.0,0.0,0.0
15,62.5,0,0,0.001882,0.001419,0,0,0,1,0,0,0,16,0,0.0,0.0,0.0
16,66.6,0,0,0.001067,0.000783,0,0,0,1,0,0,0,17,0,0.0,0.0,0.0
17,72.5,1,1,0.975324,0.97902,1,1,0,0,0,1,0,17,0,1.0,1.0,1.0
18,76.0,1,1,0.999033,0.999293,1,1,0,0,0,2,0,17,0,1.0,1.0,1.0
19,81.4,1,1,0.99939,0.999563,1,1,0,0,0,3,0,17,0,1.0,1.0,1.0
20,84.6,1,1,0.999154,0.999386,1,1,0,0,0,4,0,17,0,1.0,1.0,1.0
21,88.6,1,1,0.983714,0.98643,1,1,0,0,0,5,0,17,0,1.0,1.0,1.0
22,93.0,1,1,0.959463,0.96467,1,1,0,0,0,6,0,17,0,1.0,1.0,1.0
23,97.1,1,1,0.938333,0.945076,1,1,0,0,0,7,0,17,0,1.0,1.0,1.0
24,101.4,1,1,0.898191,0.906838,1,1,0,0,0,8,0,17,0,1.0,1.0,1.0
25,105.2,1,1,0.9549,0.960479,1,1,0,0,0,9,0,17,0,1.0,1.0,1.0
26,108.8,1,1,0.849729,0.859449,1,1,0,0,0,10,0,17,0,1.0,1.0,1.0
27,112.4,1,1,0.876839,0.886098,1,1,0,0,0,11,0,17,0,1.0,1.0,1.0
28,116.1,1,1,0.936323,0.943189,1,1,0,0,0,12,0,17,0,1.0,1.0,1.0
29,119.6,1,1,0.779315,0.788959,0,0,0,0,1,12,0,17,1,1.0,0.9231,0.96
30,123.0,1,1,0.95044,0.95636,1,1,0,0,0,13,0,17,1,1.0,0.9286,0.963
31,127.0,1,1,0.886837,0.895839,1,1,0,0,0,14,0,17,1,1.0,0.9333,0.9655
32,130.6,1,1,0.954861,0.960443,1,1,0,0,0,15,0,17,1,1.0,0.9375,0.9677
33,134.0,1,1,0.911519,0.919655,1,1,0,0,0,16,0,17,1,1.0,0.9412,0.9697
34,137.7,1,1,0.958251,0.96356,1,1,0,0,0,17,0,17,1,1.0,0.9444,0.9714
35,141.3,1,1,0.969872,0.974131,1,1,0,0,0,18,0,17,1,1.0,0.9474,0.973
36,145.0,1,1,0.972345,0.976355,1,1,0,0,0,19,0,17,1,1.0,0.95,0.9744
37,148.3,1,1,0.968151,0.972577,1,1,0,0,0,20,0,17,1,1.0,0.9524,0.9756
38,151.9,1,1,0.949557,0.955541,1,1,0,0,0,21,0,17,1,1.0,0.9545,0.9767
39,155.9,1,1,0.950112,0.956055,1,1,0,0,0,22,0,17,1,1.0,0.9565,0.9778
40,159.1,1,1,0.099836,0.091258,0,0,0,0,1,22,0,17,2,1.0,0.9167,0.9565
41,163.1,1,1,0.042388,0.037027,0,0,0,0,1,22,0,17,3,1.0,0.88,0.9362
42,167.2,1,1,0.034646,0.029957,0,0,0,0,1,22,0,17,4,1.0,0.8462,0.9167
