step,sample_id,elapsed_s,timestamp,backlog_samples,gt_label,gt_host,gt_ip,gt_source,gt_file_label,gt_sample_label,gt_mismatch,attack_episode_id,raw_prob,attack_prob,binary_pred,threshold,correct,is_tp,is_fp,is_tn,is_fn,prob_delta,prob_slope_5step,prob_at_mitigation_start,prob_change_since_mitig,cum_tp,cum_fp,cum_tn,cum_fn,rolling_precision,rolling_recall,rolling_f1,dqn_raw_action,mapped_action,active_mitigation,agent_overridden,action_taken,nominated_ip,skip_reason,target_ip,would_mitigate,would_mitigated_ip,mitigation_active,mitigation_duration_s,total_packets,total_packets_delta,forwarded_packets_delta,dropped_packets_delta,throughput_ratio,pkt_rate_pps,total_flows,total_bytes,flow_arrival_rate,src_entropy,top_source_dominance,active_sources,syn_ratio_top_src,pps_top_src,attack_start_elapsed,first_detection_elapsed,first_policy_block_elapsed,onos1_cpu,onos2_cpu,onos3_cpu,ctrl_cpu_avg,ctrl_cpu_max,python_cpu_pct,python_mem_mb,preprocess_ms,lstm_inference_ms,dqn_inference_ms,api_latency_ms,drop_query_ms,step_total_ms
0,205,2.0,2026-05-18T15:38:02.239644,205,0,none,none,sample,0,0,0,0,0.002667,0.002042,0,0.8471859296482412,1,0,0,1,0,0.0,0.0,,,0,0,1,0,0.0,0.0,0.0,0,0,0,False,ALLOW,none,not_nominated,none,0,,0,0.0,1686,1686.0,1686.0,0.0,1.0,843.0,9,8585850,0.5,0.8693,0.832,5,0.0,2109.0,,,,4.16,1.83,3.22,3.07,4.16,17.3,1240.0,71.61,382.5,1.27,0.0,0.0,1584.09
1,206,5.6,2026-05-18T15:38:06.305381,1,0,none,none,sample,0,0,0,0,0.003769,0.002932,0,0.8471859296482412,1,0,0,1,0,0.00089,0.0,,,0,0,2,0,0.0,0.0,0.0,0,0,0,False,ALLOW,none,not_nominated,none,0,,0,0.0,1823,1823.0,1823.0,0.0,1.0,911.5,13,11372815,2.0,1.1205,0.7725,6,0.0,2109.0,,,,4.83,4.26,5.52,4.87,5.52,9.3,1240.1,55.04,81.73,1.03,0.0,0.0,2065.36
2,208,9.7,2026-05-18T15:38:10.389707,2,0,none,none,sample,0,0,0,0,0.003044,0.002345,0,0.8471859296482412,1,0,0,1,0,-0.000587,0.0,,,0,0,3,0,0.0,0.0,0.0,0,0,0,False,ALLOW,none,not_nominated,none,0,,0,0.0,2105,2105.0,2105.0,0.0,1.0,1052.5,11,18389828,0.0,1.3973,0.6679,6,0.0,2109.0,,,,4.54,3.28,6.24,4.69,6.24,9.3,1240.1,53.69,78.22,2.08,0.0,0.0,2084.02
3,210,13.7,2026-05-18T15:38:14.441606,2,0,none,none,sample,0,0,0,0,0.002621,0.002005,0,0.8471859296482412,1,0,0,1,0,-0.00034,0.0,,,0,0,4,0,0.0,0.0,0.0,0,0,0,False,ALLOW,none,not_nominated,none,0,,0,0.0,2081,2081.0,2081.0,0.0,1.0,1040.5,12,24281744,2.0,1.6743,0.4307,6,0.75,1108.5,,,,4.07,3.47,4.77,4.1,4.77,8.1,1240.1,46.93,72.04,1.03,0.0,0.0,2051.22
4,212,17.8,2026-05-18T15:38:18.499461,2,0,none,none,sample,0,0,0,0,0.002765,0.002121,0,0.8471859296482412,1,0,0,1,0,0.000116,0.0,,,0,0,5,0,0.0,0.0,0.0,0,0,0,False,ALLOW,none,not_nominated,none,0,,0,0.0,1262,1262.0,1262.0,0.0,1.0,631.0,11,28985534,0.0,1.4882,0.5338,6,0.0,1008.0,,,,6.84,3.54,5.25,5.21,6.84,8.1,1240.1,57.64,74.51,1.49,0.0,0.0,2057.43
5,214,21.8,2026-05-18T15:38:22.559735,2,0,none,none,sample,0,0,0,0,0.002744,0.002104,0,0.8471859296482412,1,0,0,1,0,-1.7e-05,1.2e-05,,,0,0,6,0,0.0,0.0,0.0,0,0,0,False,ALLOW,none,not_nominated,none,0,,0,0.0,1524,1524.0,1524.0,0.0,1.0,762.0,11,35343368,2.0,1.4767,0.5399,6,0.0,1224.0,,,,5.13,2.76,3.81,3.9,5.13,8.6,1240.1,52.87,99.43,1.27,0.0,0.0,2059.96
6,216,25.9,2026-05-18T15:38:26.625855,2,0,none,none,sample,0,0,0,0,0.004136,0.003231,0,0.8471859296482412,1,0,0,1,0,0.001127,6e-05,,,0,0,7,0,0.0,0.0,0.0,0,0,0,False,ALLOW,none,not_nominated,none,0,,0,0.0,1776,1776.0,1776.0,0.0,1.0,888.0,11,41430578,1.0,1.4654,0.5377,6,0.0,1449.0,,,,4.2,3.84,5.3,4.45,5.3,8.1,1240.1,56.13,81.14,1.44,0.0,0.0,2065.86
7,218,30.0,2026-05-18T15:38:30.683212,2,0,none,none,sample,0,0,0,0,0.002972,0.002287,0,0.8471859296482412,1,0,0,1,0,-0.000944,-1.2e-05,,,0,0,8,0,0.0,0.0,0.0,0,0,0,False,ALLOW,none,not_nominated,none,0,,0,0.0,2011,2011.0,2011.0,0.0,1.0,1005.5,11,47995088,0.0,1.4269,0.5506,6,0.0,1656.0,,,,2.91,2.8,3.12,2.94,3.12,7.9,1240.1,49.5,73.43,0.99,0.0,0.0,2057.01
8,220,34.0,2026-05-18T15:38:34.739481,2,0,none,none,sample,0,0,0,0,0.00245,0.001868,0,0.8471859296482412,1,0,0,1,0,-0.000419,-2.7e-05,,,0,0,9,0,0.0,0.0,0.0,0,0,0,False,ALLOW,none,not_nominated,none,0,,0,0.0,2229,2229.0,2229.0,0.0,1.0,1114.5,9,54295301,0.0,1.3681,0.5602,6,0.0,1881.0,,,,4.27,2.9,6.74,4.64,6.74,9.4,1241.9,63.63,94.64,1.14,0.0,0.0,2055.65
9,222,38.1,2026-05-18T15:38:38.805515,2,0,none,none,sample,0,0,0,0,0.002477,0.00189,0,0.8471859296482412,1,0,0,1,0,2.2e-05,-4.6e-05,,,0,0,10,0,0.0,0.0,0.0,0,0,0,False,ALLOW,none,not_nominated,none,0,,0,0.0,2573,2573.0,2573.0,0.0,1.0,1286.5,12,61585801,1.0,1.5299,0.5555,7,0.0,2097.0,,,,5.6,3.79,4.46,4.62,5.6,7.6,1241.9,69.52,73.97,2.01,0.0,0.0,2065.7
10,224,42.2,2026-05-18T15:38:42.870848,2,0,none,none,sample,0,0,0,0,0.001585,0.001185,0,0.8471859296482412,1,0,0,1,0,-0.000705,-0.000184,,,0,0,11,0,0.0,0.0,0.0,0,0,0,False,ALLOW,none,not_nominated,none,0,,0,0.0,2789,2789.0,2789.0,0.0,1.0,1394.5,11,71720583,2.0,1.4969,0.5246,7,0.0,2194.5,,,,5.62,3.24,3.76,4.21,5.62,6.9,1189.2,73.62,72.89,1.04,0.0,0.0,2065.09
11,226,46.2,2026-05-18T15:38:46.930015,2,0,none,none,sample,0,0,0,0,0.003457,0.002679,0,0.8471859296482412,1,0,0,1,0,0.001494,-0.00011,,,0,0,12,0,0.0,0.0,0.0,0,0,0,False,ALLOW,none,not_nominated,none,0,,0,0.0,3097,3097.0,3097.0,0.0,1.0,1548.5,11,78896253,1.0,1.6493,0.4726,7,0.0,2194.5,,,,3.78,2.53,4.21,3.51,4.21,6.4,1189.3,48.3,71.12,1.69,0.0,0.0,2058.71
12,228,50.3,2026-05-18T15:38:50.999968,2,0,none,none,sample,0,0,0,0,0.003158,0.002437,0,0.8471859296482412,1,0,0,1,0,-0.000242,3e-05,,,0,0,13,0,0.0,0.0,0.0,0,0,0,False,ALLOW,none,not_nominated,none,0,,0,0.0,3398,3398.0,3398.0,0.0,1.0,1699.0,11,85937589,0.5,1.7422,0.4308,7,0.0,2194.5,,,,3.89,4.77,4.46,4.37,4.77,8.1,1189.3,78.57,74.98,1.07,0.0,0.0,2069.69
13,230,54.3,2026-05-18T15:38:55.065285,2,0,none,none,sample,0,0,0,0,0.003234,0.002498,0,0.8471859296482412,1,0,0,1,0,6.1e-05,0.000126,,,0,0,14,0,0.0,0.0,0.0,0,0,0,False,ALLOW,none,not_nominated,none,0,,0,0.0,3696,3696.0,3696.0,0.0,1.0,1848.0,9,92847671,0.0,1.8027,0.3958,6,0.0,2194.5,,,,3.55,3.08,3.2,3.28,3.55,7.4,1189.3,79.83,73.02,1.14,0.0,0.0,2065.03
14,232,58.4,2026-05-18T15:38:59.123781,2,0,none,none,sample,0,0,0,0,0.002066,0.001563,0,0.8471859296482412,1,0,0,1,0,-0.000935,-6.5e-05,,,0,0,15,0,0.0,0.0,0.0,0,0,0,False,ALLOW,none,not_nominated,none,0,,0,0.0,3992,3992.0,3992.0,0.0,1.0,1996.0,9,99626717,0.0,1.8435,0.3453,6,0.0,1258.5,,,,5.2,2.49,5.86,4.52,5.86,6.9,1189.4,58.35,70.94,1.08,0.0,0.0,2058.1
15,234,62.5,2026-05-18T15:39:03.209147,2,0,none,none,sample,0,0,0,0,0.001882,0.001419,0,0.8471859296482412,1,0,0,1,0,-0.000144,4.7e-05,,,0,0,16,0,0.0,0.0,0.0,0,0,0,False,ALLOW,none,not_nominated,none,0,,0,0.0,1967,1967.0,1967.0,0.0,1.0,983.5,7,43895869,1.0,1.4804,0.5165,4,0.3333,1524.0,,,,75.66,81.16,53.68,70.17,81.16,7.3,1189.4,47.19,73.8,1.38,0.0,0.0,2085.04
16,236,66.6,2026-05-18T15:39:07.142865,2,0,none,none,sample,1,0,1,0,0.001067,0.000783,0,0.8471859296482412,1,0,0,1,0,-0.000636,-0.000379,,,0,0,17,0,0.0,0.0,0.0,0,0,0,False,ALLOW,none,not_nominated,none,0,,0,0.0,2503,2503.0,2503.0,0.0,1.0,1251.5,42,51128936,17.5,1.7022,0.4751,4,0.3333,1767.0,,,,14.85,28.04,22.13,21.67,28.04,15.8,1190.5,127.8,244.01,4.63,0.0,0.0,1933.34
17,237,72.5,2026-05-18T15:39:12.676328,1,1,iot2,10.10.0.102,sample,1,1,0,1,0.975324,0.97902,1,0.8471859296482412,1,1,0,0,0,0.978237,0.195317,0.9790202762040651,0.0,1,0,17,0,1.0,1.0,1.0,2,2,2,False,BLOCK (10.10.0.102),10.10.0.102,accepted,10.10.0.102,1,10.10.0.102,1,0.0,5652,5652.0,5652.0,0.0,1.0,2826.0,43,59272270,21.5,1.804,0.4116,4,0.6667,3475.0,72.5,72.5,72.5,57.81,28.63,6.24,30.89,57.81,15.0,1190.8,121.06,112.89,1.55,0.0,0.0,1527.56
18,238,76.0,2026-05-18T15:39:16.021314,1,1,iot2,10.10.0.102,sample,1,1,0,1,0.999033,0.999293,1,0.8471859296482412,1,1,0,0,0,0.020273,0.199359,0.9790202762040651,0.020273,2,0,17,0,1.0,1.0,1.0,2,2,2,False,BLOCK (10.10.0.102),10.10.0.102,accepted,10.10.0.102,1,10.10.0.102,1,3.39,8436,8436.0,8436.0,0.0,1.0,4218.0,57,68396366,7.0,1.7354,0.4377,5,0.64,5433.0,72.5,72.5,72.5,4.87,3.11,6.84,4.94,6.84,14.3,1190.8,88.32,75.1,0.98,0.0,0.0,1344.61
19,239,81.4,2026-05-18T15:39:21.297860,1,1,iot2,10.10.0.102,sample,1,1,0,1,0.99939,0.999563,1,0.8471859296482412,1,1,0,0,0,0.00027,0.1996,0.9790202762040651,0.020543,3,0,17,0,1.0,1.0,1.0,2,2,2,False,BLOCK (10.10.0.102),10.10.0.102,accepted,10.10.0.102,1,10.10.0.102,1,8.7,8831,8831.0,8831.0,0.0,1.0,4415.5,61,76131769,2.0,1.7641,0.4331,5,0.7097,5632.5,72.5,72.5,72.5,65.8,3.3,5.96,25.02,65.8,13.6,1190.8,49.85,68.31,0.94,0.0,0.0,1265.42
20,240,84.6,2026-05-18T15:39:25.249000,1,1,iot2,10.10.0.102,sample,1,1,0,1,0.999154,0.999386,1,0.8471859296482412,1,1,0,0,0,-0.000177,0.199593,0.9790202762040651,0.020365,4,0,17,0,1.0,1.0,1.0,2,2,2,False,BLOCK (10.10.0.102),10.10.0.102,accepted,10.10.0.102,1,10.10.0.102,1,12.09,9284,9284.0,9284.0,0.0,1.0,4642.0,69,83599891,4.0,1.7852,0.4178,5,0.7097,5770.5,72.5,72.5,72.5,3.93,3.01,3.28,3.41,3.93,14.7,1193.5,127.69,109.32,1.37,0.0,0.0,1950.1
21,241,88.6,2026-05-18T15:39:29.634320,1,1,iot2,10.10.0.102,sample,1,1,0,1,0.983714,0.98643,1,0.8471859296482412,1,1,0,0,0,-0.012956,0.197129,0.9790202762040651,0.00741,5,0,17,0,1.0,1.0,1.0,2,2,2,False,BLOCK (10.10.0.102),10.10.0.102,accepted,10.10.0.102,1,10.10.0.102,1,16.33,9666,9666.0,9666.0,0.0,1.0,4833.0,69,92260267,1.5,1.8075,0.3929,5,0.6667,5916.5,72.5,72.5,72.5,39.11,19.98,9.22,22.77,39.11,16.9,1193.5,350.95,176.51,1.6,0.0,0.0,2383.07
