step,old_action,new_action,target_ip,reason,old_action_name,new_action_name
17,0,2,10.10.0.102,agent_decision,ALLOW,BLOCK
44,2,0,10.10.0.102,attack_ended_gt_0,BLOCK,ALLOW
63,0,2,10.10.0.2,agent_decision,ALLOW,BLOCK
71,2,2,none,blocked_downgrade_from_BLOCK_agent_wanted_0,BLOCK,BLOCK
72,2,2,none,blocked_downgrade_from_BLOCK_agent_wanted_0,BLOCK,BLOCK
74,2,2,none,blocked_downgrade_from_BLOCK_agent_wanted_0,BLOCK,BLOCK
75,2,2,none,blocked_downgrade_from_BLOCK_agent_wanted_0,BLOCK,BLOCK
76,2,2,none,blocked_downgrade_from_BLOCK_agent_wanted_0,BLOCK,BLOCK
77,2,2,none,blocked_downgrade_from_BLOCK_agent_wanted_0,BLOCK,BLOCK
78,2,2,none,blocked_downgrade_from_BLOCK_agent_wanted_0,BLOCK,BLOCK
79,2,2,none,blocked_downgrade_from_BLOCK_agent_wanted_0,BLOCK,BLOCK
83,2,2,none,blocked_downgrade_from_BLOCK_agent_wanted_0,BLOCK,BLOCK
84,2,2,none,blocked_downgrade_from_BLOCK_agent_wanted_0,BLOCK,BLOCK
86,2,2,none,blocked_downgrade_from_BLOCK_agent_wanted_0,BLOCK,BLOCK
87,2,2,none,blocked_downgrade_from_BLOCK_agent_wanted_0,BLOCK,BLOCK
88,2,0,10.10.0.2,attack_ended_gt_0,BLOCK,ALLOW
106,0,2,10.10.0.4,agent_decision,ALLOW,BLOCK
119,2,2,none,blocked_downgrade_from_BLOCK_agent_wanted_0,BLOCK,BLOCK
134,2,0,10.10.0.4,attack_ended_gt_0,BLOCK,ALLOW
