step,elapsed_s,gt_label,attack_episode_id,dqn_action,nominated_ip,target_ip,skip_reason,is_sentinel_skip,is_accepted,attacker_gt_ip,correct_target
0,2.0,0,0,0,none,none,not_nominated,0,0,none,0
1,5.6,0,0,0,none,none,not_nominated,0,0,none,0
2,9.7,0,0,0,none,none,not_nominated,0,0,none,0
3,13.7,0,0,0,none,none,not_nominated,0,0,none,0
4,17.8,0,0,0,none,none,not_nominated,0,0,none,0
5,21.8,0,0,0,none,none,not_nominated,0,0,none,0
6,25.9,0,0,0,none,none,not_nominated,0,0,none,0
7,30.0,0,0,0,none,none,not_nominated,0,0,none,0
8,34.0,0,0,0,none,none,not_nominated,0,0,none,0
9,38.1,0,0,0,none,none,not_nominated,0,0,none,0
10,42.2,0,0,0,none,none,not_nominated,0,0,none,0
11,46.2,0,0,0,none,none,not_nominated,0,0,none,0
12,50.3,0,0,0,none,none,not_nominated,0,0,none,0
13,54.3,0,0,0,none,none,not_nominated,0,0,none,0
14,58.4,0,0,0,none,none,not_nominated,0,0,none,0
15,62.5,0,0,0,none,none,not_nominated,0,0,none,0
16,66.6,0,0,0,none,none,not_nominated,0,0,none,0
17,72.5,1,1,2,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
18,76.0,1,1,2,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
19,81.4,1,1,2,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
20,84.6,1,1,2,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
21,88.6,1,1,2,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
22,93.0,1,1,2,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
23,97.1,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
24,101.4,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
25,105.2,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
26,108.8,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
27,112.4,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
28,116.1,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
29,119.6,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
30,123.0,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
31,127.0,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
32,130.6,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
33,134.0,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
34,137.7,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
35,141.3,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
36,145.0,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
37,148.3,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
38,151.9,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
39,155.9,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
40,159.1,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
41,163.1,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
42,167.2,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
43,171.2,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,none,0
44,175.3,0,0,1,10.10.0.102,10.10.0.102,accepted,0,1,none,0
45,179.4,0,0,1,10.10.0.102,10.10.0.102,accepted,0,1,none,0
46,183.4,0,0,0,none,none,not_nominated,0,0,none,0
47,187.5,0,0,0,none,none,not_nominated,0,0,none,0
48,191.5,0,0,0,none,none,not_nominated,0,0,none,0
49,195.6,0,0,0,none,none,not_nominated,0,0,none,0
50,199.7,0,0,0,none,none,not_nominated,0,0,none,0
51,203.7,0,0,0,none,none,not_nominated,0,0,none,0
52,207.8,0,0,0,none,none,not_nominated,0,0,none,0
53,211.9,0,0,0,none,none,not_nominated,0,0,none,0
54,215.9,0,0,0,none,none,not_nominated,0,0,none,0
55,220.0,0,0,0,none,none,not_nominated,0,0,none,0
56,224.0,0,0,0,none,none,not_nominated,0,0,none,0
57,228.1,0,0,0,none,none,not_nominated,0,0,none,0
58,232.2,0,0,0,none,none,not_nominated,0,0,none,0
59,236.2,0,0,0,none,none,not_nominated,0,0,none,0
60,240.3,0,0,0,none,none,not_nominated,0,0,none,0
61,244.3,0,0,0,none,none,not_nominated,0,0,none,0
62,248.5,0,0,0,none,none,not_nominated,0,0,none,0
63,253.0,1,2,2,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.2,1
64,256.4,1,2,2,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.2,1
65,259.9,1,2,2,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.2,1
66,264.2,1,2,2,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.2,1
67,268.2,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.2,1
68,272.3,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.2,1
69,276.4,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.2,1
70,280.4,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.2,1
71,284.5,1,2,0,none,none,not_nominated,0,0,10.10.0.2,0
72,288.6,1,2,0,none,none,not_nominated,0,0,10.10.0.2,0
73,292.7,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.2,1
74,296.7,1,2,0,none,none,not_nominated,0,0,10.10.0.2,0
75,300.8,1,2,0,none,none,not_nominated,0,0,10.10.0.2,0
