elapsed_s,gt_label,attack_episode_id,total_packets,total_packets_delta,forwarded_packets_delta,dropped_packets_delta,throughput_ratio,pkt_rate_pps,total_flows,total_bytes,flow_arrival_rate,src_entropy,top_source_dominance,active_sources,syn_ratio_top_src,pps_top_src,ctrl_cpu_avg,ctrl_cpu_max,python_cpu_pct,python_mem_mb
2.0,0,0,1686,1686.0,1686.0,0.0,1.0,843.0,9,8585850,0.5,0.8693,0.832,5,0.0,2109.0,3.07,4.16,17.3,1240.0
5.6,0,0,1823,1823.0,1823.0,0.0,1.0,911.5,13,11372815,2.0,1.1205,0.7725,6,0.0,2109.0,4.87,5.52,9.3,1240.1
9.7,0,0,2105,2105.0,2105.0,0.0,1.0,1052.5,11,18389828,0.0,1.3973,0.6679,6,0.0,2109.0,4.69,6.24,9.3,1240.1
13.7,0,0,2081,2081.0,2081.0,0.0,1.0,1040.5,12,24281744,2.0,1.6743,0.4307,6,0.75,1108.5,4.1,4.77,8.1,1240.1
17.8,0,0,1262,1262.0,1262.0,0.0,1.0,631.0,11,28985534,0.0,1.4882,0.5338,6,0.0,1008.0,5.21,6.84,8.1,1240.1
21.8,0,0,1524,1524.0,1524.0,0.0,1.0,762.0,11,35343368,2.0,1.4767,0.5399,6,0.0,1224.0,3.9,5.13,8.6,1240.1
25.9,0,0,1776,1776.0,1776.0,0.0,1.0,888.0,11,41430578,1.0,1.4654,0.5377,6,0.0,1449.0,4.45,5.3,8.1,1240.1
30.0,0,0,2011,2011.0,2011.0,0.0,1.0,1005.5,11,47995088,0.0,1.4269,0.5506,6,0.0,1656.0,2.94,3.12,7.9,1240.1
34.0,0,0,2229,2229.0,2229.0,0.0,1.0,1114.5,9,54295301,0.0,1.3681,0.5602,6,0.0,1881.0,4.64,6.74,9.4,1241.9
38.1,0,0,2573,2573.0,2573.0,0.0,1.0,1286.5,12,61585801,1.0,1.5299,0.5555,7,0.0,2097.0,4.62,5.6,7.6,1241.9
42.2,0,0,2789,2789.0,2789.0,0.0,1.0,1394.5,11,71720583,2.0,1.4969,0.5246,7,0.0,2194.5,4.21,5.62,6.9,1189.2
46.2,0,0,3097,3097.0,3097.0,0.0,1.0,1548.5,11,78896253,1.0,1.6493,0.4726,7,0.0,2194.5,3.51,4.21,6.4,1189.3
