step,elapsed_s,gt_label,attack_episode_id,raw_prob,attack_prob,binary_pred,is_tp,is_fp,is_tn,is_fn,cum_tp,cum_fp,cum_tn,cum_fn,rolling_precision,rolling_recall,rolling_f1
0,2.0,0,0,0.00318,0.002455,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0
1,5.8,0,0,0.0027,0.002068,0,0,0,1,0,0,0,2,0,0.0,0.0,0.0
2,9.9,0,0,0.002294,0.001745,0,0,0,1,0,0,0,3,0,0.0,0.0,0.0
3,14.0,0,0,0.001782,0.00134,0,0,0,1,0,0,0,4,0,0.0,0.0,0.0
4,18.0,0,0,0.00129,0.000955,0,0,0,1,0,0,0,5,0,0.0,0.0,0.0
5,22.1,0,0,0.001456,0.001085,0,0,0,1,0,0,0,6,0,0.0,0.0,0.0
6,26.1,0,0,0.001314,0.000974,0,0,0,1,0,0,0,7,0,0.0,0.0,0.0
7,30.2,0,0,0.001197,0.000883,0,0,0,1,0,0,0,8,0,0.0,0.0,0.0
8,34.3,0,0,0.002104,0.001594,0,0,0,1,0,0,0,9,0,0.0,0.0,0.0
9,38.3,0,0,0.002176,0.001651,0,0,0,1,0,0,0,10,0,0.0,0.0,0.0
10,42.4,0,0,0.002383,0.001815,0,0,0,1,0,0,0,11,0,0.0,0.0,0.0
11,46.5,0,0,0.002909,0.002237,0,0,0,1,0,0,0,12,0,0.0,0.0,0.0
12,50.5,0,0,0.002868,0.002204,0,0,0,1,0,0,0,13,0,0.0,0.0,0.0
13,54.6,0,0,0.003476,0.002694,0,0,0,1,0,0,0,14,0,0.0,0.0,0.0
14,58.7,0,0,0.002161,0.001639,0,0,0,1,0,0,0,15,0,0.0,0.0,0.0
15,62.7,0,0,0.001587,0.001187,0,0,0,1,0,0,0,16,0,0.0,0.0,0.0
16,66.8,0,0,0.00121,0.000894,0,0,0,1,0,0,0,17,0,0.0,0.0,0.0
17,70.8,0,0,0.001978,0.001494,0,0,0,1,0,0,0,18,0,0.0,0.0,0.0
18,74.9,0,0,0.002326,0.00177,0,0,0,1,0,0,0,19,0,0.0,0.0,0.0
19,79.0,0,0,0.003177,0.002453,0,0,0,1,0,0,0,20,0,0.0,0.0,0.0
20,83.1,0,0,0.001958,0.001478,0,0,0,1,0,0,0,21,0,0.0,0.0,0.0
21,87.1,1,1,0.931062,0.938237,1,1,0,0,0,1,0,21,0,1.0,1.0,1.0
22,91.2,1,1,0.99819,0.998638,1,1,0,0,0,2,0,21,0,1.0,1.0,1.0
23,95.3,1,1,0.998971,0.999245,1,1,0,0,0,3,0,21,0,1.0,1.0,1.0
24,99.3,1,1,0.997965,0.998461,1,1,0,0,0,4,0,21,0,1.0,1.0,1.0
25,103.4,1,1,0.999176,0.999402,1,1,0,0,0,5,0,21,0,1.0,1.0,1.0
26,107.5,1,1,0.998838,0.999144,1,1,0,0,0,6,0,21,0,1.0,1.0,1.0
27,111.9,1,1,0.998578,0.998942,1,1,0,0,0,7,0,21,0,1.0,1.0,1.0
28,117.9,1,1,0.994385,0.995551,1,1,0,0,0,8,0,21,0,1.0,1.0,1.0
29,121.2,1,1,0.999112,0.999354,1,1,0,0,0,9,0,21,0,1.0,1.0,1.0
30,127.2,1,1,0.998754,0.999078,1,1,0,0,0,10,0,21,0,1.0,1.0,1.0
31,132.9,1,1,0.999606,0.999723,1,1,0,0,0,11,0,21,0,1.0,1.0,1.0
32,137.2,1,1,0.999393,0.999565,1,1,0,0,0,12,0,21,0,1.0,1.0,1.0
33,142.5,1,1,0.998967,0.999243,1,1,0,0,0,13,0,21,0,1.0,1.0,1.0
34,146.1,1,1,0.998946,0.999226,1,1,0,0,0,14,0,21,0,1.0,1.0,1.0
35,151.9,1,1,0.996089,0.996953,1,1,0,0,0,15,0,21,0,1.0,1.0,1.0
36,156.0,1,1,0.998961,0.999238,1,1,0,0,0,16,0,21,0,1.0,1.0,1.0
37,161.5,1,1,0.998932,0.999216,1,1,0,0,0,17,0,21,0,1.0,1.0,1.0
38,165.9,1,1,0.99615,0.997002,1,1,0,0,0,18,0,21,0,1.0,1.0,1.0
39,170.1,1,1,0.998961,0.999238,1,1,0,0,0,19,0,21,0,1.0,1.0,1.0
40,175.6,1,1,0.998703,0.999039,1,1,0,0,0,20,0,21,0,1.0,1.0,1.0
41,179.8,1,1,0.998409,0.99881,1,1,0,0,0,21,0,21,0,1.0,1.0,1.0
42,183.1,1,1,0.824252,0.834136,0,0,0,0,1,21,0,21,1,1.0,0.9545,0.9767
43,187.2,1,1,0.647356,0.653593,0,0,0,0,1,21,0,21,2,1.0,0.913,0.9545
44,191.2,1,1,0.668415,0.675395,0,0,0,0,1,21,0,21,3,1.0,0.875,0.9333
45,195.3,1,1,0.803776,0.813627,0,0,0,0,1,21,0,21,4,1.0,0.84,0.913
46,199.4,0,0,0.906727,0.915059,1,0,1,0,0,21,1,21,4,0.9545,0.84,0.8936
47,203.4,0,0,0.002992,0.002303,0,0,0,1,0,21,1,22,4,0.9545,0.84,0.8936
48,207.5,0,0,0.001403,0.001043,0,0,0,1,0,21,1,23,4,0.9545,0.84,0.8936
49,211.5,0,0,0.001439,0.001071,0,0,0,1,0,21,1,24,4,0.9545,0.84,0.8936
50,215.6,0,0,0.002318,0.001764,0,0,0,1,0,21,1,25,4,0.9545,0.84,0.8936
51,219.7,0,0,0.002864,0.0022,0,0,0,1,0,21,1,26,4,0.9545,0.84,0.8936
52,223.7,0,0,0.004636,0.003642,0,0,0,1,0,21,1,27,4,0.9545,0.84,0.8936
53,227.8,0,0,0.002794,0.002144,0,0,0,1,0,21,1,28,4,0.9545,0.84,0.8936
54,231.8,0,0,0.002034,0.001538,0,0,0,1,0,21,1,29,4,0.9545,0.84,0.8936
55,235.9,0,0,0.001759,0.001321,0,0,0,1,0,21,1,30,4,0.9545,0.84,0.8936
56,240.0,0,0,0.001745,0.001311,0,0,0,1,0,21,1,31,4,0.9545,0.84,0.8936
57,244.0,0,0,0.000952,0.000695,0,0,0,1,0,21,1,32,4,0.9545,0.84,0.8936
58,248.1,0,0,0.001517,0.001132,0,0,0,1,0,21,1,33,4,0.9545,0.84,0.8936
59,252.2,0,0,0.001379,0.001025,0,0,0,1,0,21,1,34,4,0.9545,0.84,0.8936
60,256.2,0,0,0.001696,0.001272,0,0,0,1,0,21,1,35,4,0.9545,0.84,0.8936
61,260.3,0,0,0.000961,0.000703,0,0,0,1,0,21,1,36,4,0.9545,0.84,0.8936
62,264.4,1,2,0.965357,0.970047,1,1,0,0,0,22,1,36,4,0.9565,0.8462,0.898
63,268.4,1,2,0.998926,0.999211,1,1,0,0,0,23,1,36,4,0.9583,0.8519,0.902
64,272.8,1,2,0.998458,0.998849,1,1,0,0,0,24,1,36,4,0.96,0.8571,0.9057
65,277.1,1,2,0.99734,0.997964,1,1,0,0,0,25,1,36,4,0.9615,0.8621,0.9091
66,280.6,1,2,0.997422,0.998029,1,1,0,0,0,26,1,36,4,0.963,0.8667,0.9123
67,284.9,1,2,0.992717,0.994158,1,1,0,0,0,27,1,36,4,0.9643,0.871,0.9153
68,289.0,1,2,0.994565,0.995699,1,1,0,0,0,28,1,36,4,0.9655,0.875,0.918
69,293.0,1,2,0.996702,0.99745,1,1,0,0,0,29,1,36,4,0.9667,0.8788,0.9206
70,297.4,1,2,0.998867,0.999166,1,1,0,0,0,30,1,36,4,0.9677,0.8824,0.9231
71,301.4,1,2,0.982996,0.985803,1,1,0,0,0,31,1,36,4,0.9688,0.8857,0.9254
