step,sample_id,elapsed_s,timestamp,backlog_samples,gt_label,gt_host,gt_ip,gt_source,gt_file_label,gt_sample_label,gt_mismatch,attack_episode_id,raw_prob,attack_prob,binary_pred,threshold,correct,is_tp,is_fp,is_tn,is_fn,prob_delta,prob_slope_5step,prob_at_mitigation_start,prob_change_since_mitig,cum_tp,cum_fp,cum_tn,cum_fn,rolling_precision,rolling_recall,rolling_f1,dqn_raw_action,mapped_action,active_mitigation,agent_overridden,action_taken,nominated_ip,skip_reason,target_ip,would_mitigate,would_mitigated_ip,mitigation_active,mitigation_duration_s,total_packets,total_packets_delta,forwarded_packets_delta,dropped_packets_delta,throughput_ratio,pkt_rate_pps,total_flows,total_bytes,flow_arrival_rate,src_entropy,top_source_dominance,active_sources,syn_ratio_top_src,pps_top_src,attack_start_elapsed,first_detection_elapsed,first_policy_block_elapsed,onos1_cpu,onos2_cpu,onos3_cpu,ctrl_cpu_avg,ctrl_cpu_max,python_cpu_pct,python_mem_mb,preprocess_ms,lstm_inference_ms,dqn_inference_ms,api_latency_ms,drop_query_ms,step_total_ms
0,73,2.0,2026-05-18T15:07:38.694772,73,0,none,none,sample,0,0,0,0,0.00318,0.002455,0,0.8471859296482412,1,0,0,1,0,0.0,0.0,,,0,0,1,0,0.0,0.0,0.0,0,0,0,False,ALLOW,none,not_nominated,none,0,,0,0.0,1232,1232.0,1232.0,0.0,1.0,616.0,11,16691570,0.0,1.6387,0.3604,5,0.6667,664.5,,,,4.6,3.0,3.26,3.62,4.6,15.3,1235.0,51.82,349.06,1.31,0.0,0.0,1840.48
1,75,5.8,2026-05-18T15:07:42.742350,2,0,none,none,sample,0,0,0,0,0.0027,0.002068,0,0.8471859296482412,1,0,0,1,0,-0.000387,0.0,,,0,0,2,0,0.0,0.0,0.0,0,0,0,False,ALLOW,none,not_nominated,none,0,,0,0.0,1336,1336.0,1336.0,0.0,1.0,668.0,9,19055946,0.0,1.6146,0.3331,4,0.0,667.5,,,,4.1,3.19,3.6,3.63,4.1,9.6,1235.0,65.6,94.49,1.25,0.0,0.0,2047.32
2,77,9.9,2026-05-18T15:07:46.804175,2,0,none,none,sample,0,0,0,0,0.002294,0.001745,0,0.8471859296482412,1,0,0,1,0,-0.000323,0.0,,,0,0,3,0,0.0,0.0,0.0,0,0,0,False,ALLOW,none,not_nominated,none,0,,0,0.0,998,998.0,998.0,0.0,1.0,499.0,8,20501754,3.0,1.1056,0.4987,4,0.0,739.5,,,,5.45,4.18,4.63,4.75,5.45,6.9,1225.2,45.45,69.79,1.18,0.0,0.0,2061.54
3,79,14.0,2026-05-18T15:07:50.861026,2,0,none,none,sample,0,0,0,0,0.001782,0.00134,0,0.8471859296482412,1,0,0,1,0,-0.000405,0.0,,,0,0,4,0,0.0,0.0,0.0,0,0,0,False,ALLOW,none,not_nominated,none,0,,0,0.0,1120,1120.0,1120.0,0.0,1.0,560.0,7,22656163,0.0,1.2029,0.4856,3,0.0,811.5,,,,3.11,4.13,3.49,3.58,4.13,9.1,1225.3,66.56,90.06,1.3,0.0,0.0,2056.6
4,81,18.0,2026-05-18T15:07:54.920667,2,0,none,none,sample,0,0,0,0,0.00129,0.000955,0,0.8471859296482412,1,0,0,1,0,-0.000385,0.0,,,0,0,5,0,0.0,0.0,0.0,0,0,0,False,ALLOW,none,not_nominated,none,0,,0,0.0,1252,1252.0,1252.0,0.0,1.0,626.0,4,24714980,0.0,1.3702,0.4681,4,0.0,879.0,,,,3.27,3.25,2.52,3.01,3.27,8.6,1225.5,52.07,81.68,2.08,0.0,0.0,2059.34
5,83,22.1,2026-05-18T15:07:58.982709,2,0,none,none,sample,0,0,0,0,0.001456,0.001085,0,0.8471859296482412,1,0,0,1,0,0.00013,-0.000274,,,0,0,6,0,0.0,0.0,0.0,0,0,0,False,ALLOW,none,not_nominated,none,0,,0,0.0,1420,1420.0,1420.0,0.0,1.0,710.0,4,27048164,0.0,1.4921,0.4486,4,0.0,955.5,,,,3.9,2.7,3.21,3.27,3.9,8.4,1225.7,51.26,73.77,1.31,0.0,0.0,2061.64
6,85,26.1,2026-05-18T15:08:03.048678,2,0,none,none,sample,0,0,0,0,0.001314,0.000974,0,0.8471859296482412,1,0,0,1,0,-0.000111,-0.000219,,,0,0,7,0,0.0,0.0,0.0,0,0,0,False,ALLOW,none,not_nominated,none,0,,0,0.0,1577,1577.0,1577.0,0.0,1.0,788.5,4,29242412,0.0,1.567,0.4344,4,0.0,1027.5,,,,5.0,4.31,2.88,4.06,5.0,8.9,1225.7,73.47,86.78,1.47,0.0,0.0,2065.71
7,87,30.2,2026-05-18T15:08:07.112464,2,0,none,none,sample,0,0,0,0,0.001197,0.000883,0,0.8471859296482412,1,0,0,1,0,-9.1e-05,-0.000172,,,0,0,8,0,0.0,0.0,0.0,0,0,0,False,ALLOW,none,not_nominated,none,0,,0,0.0,1742,1742.0,1742.0,0.0,1.0,871.0,6,31444555,1.0,1.6276,0.4208,4,0.0,1099.5,,,,3.33,2.34,3.4,3.02,3.4,8.9,1225.8,72.95,94.27,1.88,0.0,0.0,2063.2
8,89,34.3,2026-05-18T15:08:11.172602,2,0,none,none,sample,0,0,0,0,0.002104,0.001594,0,0.8471859296482412,1,0,0,1,0,0.000711,5.1e-05,,,0,0,9,0,0.0,0.0,0.0,0,0,0,False,ALLOW,none,not_nominated,none,0,,0,0.0,1834,1834.0,1834.0,0.0,1.0,917.0,9,31806622,0.0,1.7114,0.404,5,0.0,1111.5,,,,5.3,5.02,5.44,5.25,5.44,8.1,1227.9,46.12,77.36,1.62,0.0,0.0,2059.83
9,91,38.3,2026-05-18T15:08:15.244839,2,0,none,none,sample,0,0,0,0,0.002176,0.001651,0,0.8471859296482412,1,0,0,1,0,5.7e-05,0.000139,,,0,0,10,0,0.0,0.0,0.0,0,0,0,False,ALLOW,none,not_nominated,none,0,,0,0.0,1850,1850.0,1850.0,0.0,1.0,925.0,9,31830814,0.0,1.7285,0.4005,5,0.0,1111.5,,,,3.58,3.72,2.45,3.25,3.72,8.1,1227.9,52.01,82.05,1.86,0.0,0.0,2071.96
