elapsed_s,gt_label,attack_episode_id,total_packets,total_packets_delta,forwarded_packets_delta,dropped_packets_delta,throughput_ratio,pkt_rate_pps,total_flows,total_bytes,flow_arrival_rate,src_entropy,top_source_dominance,active_sources,syn_ratio_top_src,pps_top_src,ctrl_cpu_avg,ctrl_cpu_max,python_cpu_pct,python_mem_mb
2.0,0,0,1232,1232.0,1232.0,0.0,1.0,616.0,11,16691570,0.0,1.6387,0.3604,5,0.6667,664.5,3.62,4.6,15.3,1235.0
5.8,0,0,1336,1336.0,1336.0,0.0,1.0,668.0,9,19055946,0.0,1.6146,0.3331,4,0.0,667.5,3.63,4.1,9.6,1235.0
9.9,0,0,998,998.0,998.0,0.0,1.0,499.0,8,20501754,3.0,1.1056,0.4987,4,0.0,739.5,4.75,5.45,6.9,1225.2
14.0,0,0,1120,1120.0,1120.0,0.0,1.0,560.0,7,22656163,0.0,1.2029,0.4856,3,0.0,811.5,3.58,4.13,9.1,1225.3
18.0,0,0,1252,1252.0,1252.0,0.0,1.0,626.0,4,24714980,0.0,1.3702,0.4681,4,0.0,879.0,3.01,3.27,8.6,1225.5
22.1,0,0,1420,1420.0,1420.0,0.0,1.0,710.0,4,27048164,0.0,1.4921,0.4486,4,0.0,955.5,3.27,3.9,8.4,1225.7
26.1,0,0,1577,1577.0,1577.0,0.0,1.0,788.5,4,29242412,0.0,1.567,0.4344,4,0.0,1027.5,4.06,5.0,8.9,1225.7
30.2,0,0,1742,1742.0,1742.0,0.0,1.0,871.0,6,31444555,1.0,1.6276,0.4208,4,0.0,1099.5,3.02,3.4,8.9,1225.8
34.3,0,0,1834,1834.0,1834.0,0.0,1.0,917.0,9,31806622,0.0,1.7114,0.404,5,0.0,1111.5,5.25,5.44,8.1,1227.9
38.3,0,0,1850,1850.0,1850.0,0.0,1.0,925.0,9,31830814,0.0,1.7285,0.4005,5,0.0,1111.5,3.25,3.72,8.1,1227.9
42.4,0,0,1860,1860.0,1860.0,0.0,1.0,930.0,11,31832853,1.0,1.7438,0.3984,5,0.0,1111.5,3.54,4.17,8.6,1227.9
46.5,0,0,1952,1952.0,1952.0,0.0,1.0,976.0,14,31960325,2.0,1.8046,0.38,6,0.5294,1112.0,4.54,5.95,7.1,1227.9
50.5,0,0,568,568.0,568.0,0.0,1.0,284.0,7,834103,0.5,0.9815,0.7329,5,0.0,396.5,3.46,3.7,8.8,1227.9
54.6,0,0,411,411.0,411.0,0.0,1.0,205.5,6,596719,0.0,1.1764,0.8313,5,0.0,414.0,5.33,5.72,7.4,1229.1
58.7,0,0,629,629.0,629.0,0.0,1.0,314.5,7,6201585,0.0,1.4449,0.5743,4,0.0,550.5,3.31,3.68,7.4,1229.1
62.7,0,0,1186,1186.0,1186.0,0.0,1.0,593.0,7,17913864,0.0,1.8156,0.3958,5,0.0,700.5,3.43,4.09,7.4,1229.1
66.8,0,0,1644,1644.0,1644.0,0.0,1.0,822.0,11,29117793,3.0,1.8727,0.3309,4,0.5,816.0,4.6,5.51,6.9,1229.1
70.8,0,0,2137,2137.0,2137.0,0.0,1.0,1068.5,11,42641271,0.0,1.8955,0.3556,4,0.5,1140.0,6.67,10.75,7.9,1229.1
74.9,0,0,2574,2574.0,2574.0,0.0,1.0,1287.0,11,54720273,0.5,1.8906,0.3951,4,0.5,1428.0,5.41,5.56,7.4,1229.1
79.0,0,0,2998,2998.0,2998.0,0.0,1.0,1499.0,15,65883541,1.0,1.8897,0.4003,5,0.6667,1713.0,55.54,84.24,16.5,1229.8
83.1,0,0,3537,3537.0,3537.0,0.0,1.0,1768.5,33,73899615,12.0,2.0234,0.3751,5,0.625,1893.5,35.15,53.22,16.4,1229.8
87.1,1,1,5891,5891.0,5891.0,0.0,1.0,2945.5,47,86150267,23.5,2.0992,0.418,5,0.6207,3673.0,31.58,48.27,17.9,1229.8
91.2,1,1,8759,8759.0,8759.0,0.0,1.0,4379.5,47,100024217,0.0,1.9944,0.4349,5,0.6207,5475.0,33.91,51.62,15.9,1229.8
95.3,1,1,11887,11887.0,11887.0,0.0,1.0,5943.5,49,114444488,1.0,1.8994,0.4479,5,0.5625,7740.0,37.28,83.5,17.5,1229.9
99.3,1,1,14995,14995.0,14995.0,0.0,1.0,7497.5,61,128588480,6.0,1.831,0.4547,5,0.5833,9975.0,34.11,75.26,18.7,1229.9
103.4,1,1,17374,17374.0,17374.0,0.0,1.0,8687.0,65,141035380,2.0,1.8032,0.4571,5,0.5526,11905.0,32.81,42.9,17.9,1229.9
107.5,1,1,20383,20383.0,20383.0,0.0,1.0,10191.5,60,155610025,3.0,1.6888,0.4608,5,0.4688,14060.5,3.48,4.15,12.1,1229.9
111.9,1,1,24624,24624.0,24624.0,0.0,1.0,12312.0,63,176191034,1.5,1.7033,0.4494,5,0.4865,16568.0,9.16,10.94,14.8,1229.9
117.9,1,1,26552,26552.0,26552.0,0.0,1.0,13276.0,94,189648704,15.5,1.727,0.4235,5,0.4884,16827.5,46.61,81.21,13.7,1229.9
121.2,1,1,28522,28522.0,28522.0,0.0,1.0,14261.0,98,199958525,2.0,1.7359,0.4232,6,0.8065,18066.5,3.2,4.14,14.1,1229.9
127.2,1,1,30284,30284.0,30284.0,0.0,1.0,15142.0,138,201987735,20.0,1.73,0.4485,6,0.8188,20300.5,103.76,139.25,12.1,1230.3
132.9,1,1,30812,30812.0,30812.0,0.0,1.0,15406.0,138,202452470,0.0,1.7405,0.4619,6,0.8188,20840.5,33.64,48.5,16.1,1231.0
137.2,1,1,34506,34506.0,34506.0,0.0,1.0,17253.0,116,204811552,6.5,1.707,0.4644,6,0.8095,23545.5,2.84,4.25,10.8,1231.0
142.5,1,1,25898,25898.0,25898.0,0.0,1.0,12949.0,126,199776475,5.0,1.5507,0.6256,6,0.8214,25607.5,33.69,63.71,15.3,1231.0
146.1,1,1,28442,28442.0,28442.0,0.0,1.0,14221.0,126,201265531,0.0,1.5675,0.615,6,0.8214,27514.5,3.37,4.35,13.5,1231.0
151.9,1,1,31760,31760.0,31760.0,0.0,1.0,15880.0,141,203224059,7.5,1.5812,0.6108,7,0.8254,29970.5,43.76,73.78,15.6,1231.0
